name,slug,image
Car Dashboard Statues,car-dashboard-statues,https://www.satvikstore.in/cdn/shop/collections/Untitled-3_1524x.png?v=1698922491
Customize Puja Kit,customize-puja-kit,https://www.satvikstore.in/cdn/shop/collections/Untitled-2_1524x.png?v=1698920102
Divinity For Large Mandir,divinity-for-large-mandir,https://www.satvikstore.in/cdn/shop/collections/Untitled-4_1524x.png?v=1698922132
Diya Collection,diya-collection,https://www.satvikstore.in/cdn/shop/collections/Untitled-1_63d76e28-4610-4956-afb9-e33f47c45128_1524x.png?v=1698920042
Eco Friendly Ganesha,eco-friendly-ganesha,https://www.satvikstore.in/cdn/shop/collections/lord-ganesha-sculpture-nature-background_1524x.jpg?v=1684651817
Ghee Wicks,ghee-wicks,https://www.satvikstore.in/cdn/shop/collections/IMG_0747copy_1524x.jpg?v=1692770295
Gift Cards,gift-cards,https://www.satvikstore.in/cdn/shop/collections/6105999_a86f6ab6-46e1-4312-9bef-3ba81a52227b_1524x.jpg?v=1698924669
God Statue,god-statue,https://www.satvikstore.in/cdn/shop/collections/Untitled_1c28fc3e-06c1-4585-8b3f-c88bc60836e2_1524x.png?v=1698920516
Home Decor,home-decor,https://www.satvikstore.in/cdn/shop/collections/13640959_1755356578039034_6229173695713649984_o_1524x.jpg?v=1645994983
Jap Mala,jap-mala,https://www.satvikstore.in/cdn/shop/collections/b_1524x.jpg?v=1679393873
Kerala Diya,kerala-diya,https://www.satvikstore.in/cdn/shop/collections/kerala_1524x.webp?v=1681127539
Laddu Gopal Items,laddu-gopal-items,https://www.satvikstore.in/cdn/shop/collections/DSC_0023copy_ea673883-0d52-4f0d-85c2-8cb0046c7568_1524x.jpg?v=1751872016
Pooja Bells,pooja-bells,https://www.satvikstore.in/cdn/shop/collections/second2_1524x.jpg?v=1698922790
Pooja Thali 1,pooja-thali-1,https://www.satvikstore.in/cdn/shop/collections/second_1524x.webp?v=1698921016
Religious Books,religious-books,https://www.satvikstore.in/cdn/shop/collections/Untitled-99_1524x.png?v=1698923350
Return Gifts,return-gifts,https://www.satvikstore.in/cdn/shop/collections/Untitled-7_1524x.png?v=1698921338
Sambrani Cow Dung Cup Price,sambrani-cow-dung-cup-price,https://www.satvikstore.in/cdn/shop/collections/z_3_1524x.jpg?v=1701775004
Tea Light Holder,tea-light-holder,https://www.satvikstore.in/cdn/shop/collections/cpllection_1524x.jpg?v=1693633555
Vastralaya,vastralaya,https://www.satvikstore.in/cdn/shop/files/radha-costume-yellow-satin_1524x.jpg?v=1749798284
Vastu Yantra,vastu-yantra,https://www.satvikstore.in/cdn/shop/files/copper-surya-narayan-yantra-large_1524x.jpg?v=1747218355
